date,habit,amount,goal_reached
2025-03-18,Sleep 7+ Hours,8.63,Yes
2025-03-19,Drink Water,1093.0,No
2025-03-19,Exercise,28.0,No
2025-03-19,Meditate,28.0,Yes
2025-03-19,Read,43.0,Yes
2025-03-19,Sleep 7+ Hours,7.24,Yes
2025-03-20,Drink Water,2106.0,Yes
2025-03-20,Exercise,16.0,No
2025-03-20,Meditate,5.0,No
2025-03-20,Read,15.0,No
2025-03-20,Sleep 7+ Hours,5.16,No
2025-03-21,Drink Water,1134.0,No
2025-03-21,Exercise,52.0,Yes
2025-03-21,Meditate,21.0,Yes
2025-03-21,Read,47.0,Yes
2025-03-21,Sleep 7+ Hours,6.27,No
2025-03-22,Drink Water,1046.0,No
2025-03-22,Exercise,34.0,Yes
2025-03-22,Meditate,12.0,Yes
2025-03-22,Read,21.0,Yes
2025-03-22,Sleep 7+ Hours,6.79,No
2025-03-23,Drink Water,2246.0,Yes
2025-03-23,Exercise,7.0,No
2025-03-23,Meditate,22.0,Yes
2025-03-23,Read,7.0,No
2025-03-23,Sleep 7+ Hours,6.14,No
2025-03-24,Drink Water,1825.0,No
2025-03-24,Exercise,53.0,Yes
2025-03-24,Meditate,1.0,No
2025-03-24,Read,6.0,No
2025-03-24,Sleep 7+ Hours,8.81,Yes
2025-03-25,Drink Water,2094.0,Yes
2025-03-25,Exercise,24.0,No
2025-03-25,Meditate,26.0,Yes
2025-03-25,Read,18.0,No
2025-03-25,Sleep 7+ Hours,5.79,No
2025-03-26,Drink Water,1842.0,No
2025-03-26,Exercise,40.0,Yes
2025-03-26,Meditate,6.0,No
2025-03-26,Read,44.0,Yes
2025-03-26,Sleep 7+ Hours,5.27,No
2025-03-27,Drink Water,1867.0,No
2025-03-27,Exercise,40.0,Yes
2025-03-27,Meditate,14.0,Yes
2025-03-27,Read,49.0,Yes
2025-03-27,Sleep 7+ Hours,5.83,No
2025-03-28,Drink Water,1519.0,No
2025-03-28,Exercise,60.0,Yes
2025-03-28,Meditate,26.0,Yes
2025-03-28,Read,10.0,No
2025-03-28,Sleep 7+ Hours,6.12,No
